33-2021	AL	54780	0	35230	0	53590	0	75440	0
33-2022	AL	34990	0	25670	0	29860	0	52440	0
33-3011	AL	33470	0	21700	0	34380	0	43580	0
33-3012	AL	35730	0	24860	0	35130	0	48730	0
33-3021	AL	60570	0	32540	0	52740	0	114760	0
33-3031	AL	52780	0	40010	0	48010	0	75660	0
33-3041	AL	27520	0	20840	0	26680	0	36790	0
33-3051	AL	42400	0	26860	0	40790	0	61170	0
33-9011	AL	30110	0	20670	0	28690	0	43320	0
33-9021	AL	65300	0	24240	0	64970	0	102770	0
33-9032	AL	23610	0	16250	0	20220	0	37260	0
33-9091	AL	20260	0	16040	0	18830	0	27880	0
33-9092	AL	18230	0	15930	0	17980	0	22350	0
33-9093	AL	38810	0	33240	0	37120	0	45420	0
33-9099	AL	28920	0	16360	0	22300	0	53100	0
35-1011	AL	47530	0	27560	0	45010	0	72450	0
35-1012	AL	30650	0	19430	0	28200	0	47690	0
35-2011	AL	17640	0	15940	0	17810	0	19810	0
35-2012	AL	19330	0	15970	0	18340	0	25560	0
35-2014	AL	21070	0	16180	0	19410	0	28880	0
35-2015	AL	19790	0	16350	0	19800	0	24030	0
35-2019	AL	30210	0	16750	0	23870	0	50680	0
35-2021	AL	19600	0	16110	0	18650	0	26560	0
35-3011	AL	20540	0	16020	0	18500	0	31750	0
35-3021	AL	17740	0	15880	0	17800	0	20410	0
35-3022	AL	18710	0	15930	0	18180	0	23970	0
35-3031	AL	19380	0	15960	0	18200	0	24810	0
35-3041	AL	20490	0	16040	0	18690	0	27730	0
35-9011	AL	18640	0	16020	0	18160	0	23670	0
35-9021	AL	18080	0	15900	0	17980	0	22450	0
35-9031	AL	17850	0	15880	0	17820	0	20820	0
35-9099	AL	18690	0	15840	0	17980	0	23780	0
37-1011	AL	36220	0	21800	0	33240	0	56970	0
37-1012	AL	40480	0	22950	0	37400	0	63300	0
37-2011	AL	21480	0	16340	0	20170	0	29350	0
37-2012	AL	18790	0	15960	0	18240	0	23770	0
37-2021	AL	29520	0	17100	0	29160	0	44670	0
37-3011	AL	25030	0	16730	0	22470	0	37620	0
37-3012	AL	32770	0	23560	0	30680	0	46540	0
37-3013	AL	36830	0	23360	0	33310	0	56690	0
37-3019	AL	29880	0	19570	0	23390	0	50220	0
39-1011	AL	42280	0	31560	0	39280	0	58910	0
39-1012	AL	33560	0	19620	0	23600	0	69560	0
39-1021	AL	33220	0	17680	0	31700	0	52370	0
39-2011	AL	30220	0	17060	0	23640	0	50010	0
39-2021	AL	20270	0	16110	0	18910	0	28000	0
39-3012	AL	26480	0	19620	0	26640	0	34190	0
39-3021	AL	20550	0	16020	0	18390	0	32910	0
39-3091	AL	18170	0	15910	0	17890	0	21920	0
39-3093	AL	23260	0	16060	0	19320	0	42540	0
39-3099	AL	21540	0	16480	0	20900	0	29060	0
39-4011	AL	42380	0	26570	0	38750	0	67200	0
39-4021	AL	22100	0	16060	0	19560	0	33870	0
39-4031	AL	43580	0	29500	0	43550	0	56530	0
39-5012	AL	24910	0	16370	0	21260	0	36700	0
39-5092	AL	22210	0	16220	0	19720	0	33070	0
39-5093	AL	18030	0	15990	0	18120	0	22190	0
39-5094	AL	35640	0	22000	0	34370	0	53180	0
39-6011	AL	19370	0	16180	0	19320	0	23800	0
39-6012	AL	24220	0	17740	0	24110	0	30580	0
39-7011	AL	23220	0	16430	0	21880	0	33840	0
39-9011	AL	18690	0	15970	0	18210	0	23570	0
39-9021	AL	18150	0	15940	0	17980	0	22290	0
39-9031	AL	36380	0	18130	0	36570	0	53360	0
39-9032	AL	23760	0	16340	0	20630	0	37120	0
39-9041	AL	22500	0	16610	0	21370	0	30180	0
39-9099	AL	25380	0	16510	0	22440	0	42960	0
41-1011	AL	41070	0	22450	0	36280	0	60370	0
41-1012	AL	78010	0	37980	0	70770	0	127130	0
41-2011	AL	18760	0	16030	0	18230	0	23730	0
41-2021	AL	25620	0	16750	0	22520	0	40920	0
41-2022	AL	30090	0	17330	0	26860	0	48740	0
41-2031	AL	25990	0	16500	0	20980	0	42370	0
41-3011	AL	43850	0	18690	0	33510	0	80290	0
41-3021	AL	58220	0	25950	0	41850	0	102860	0
41-3031	AL	78300	0	30240	0	49430	0	158060	0
41-3041	AL	37470	0	26410	0	35860	0	55590	0
41-3099	AL	49320	0	25050	0	42860	0	82490	0
41-4011	AL	84440	0	34910	0	76500	0	145370	0
41-4012	AL	62940	0	26540	0	52800	0	112350	0
41-9011	AL	27630	0	16530	0	23860	0	44720	0
41-9021	AL	68830	0	23370	0	55850	0	144290	0
41-9022	AL	61130	0	32470	0	59250	0	93900	0
41-9031	AL	94550	0	56300	0	84690	0	149960	0
41-9041	AL	23770	0	16520	0	22310	0	35220	0
41-9099	AL	30020	0	17920	0	26410	0	47260	0
43-1011	AL	51560	0	29110	0	49040	0	77440	0
43-2011	AL	24480	0	17480	0	23580	0	33170	0
43-2021	AL	*	0	*	0	*	0	*	0
43-3011	AL	31940	0	21660	0	29670	0	46840	0
43-3021	AL	31660	0	22060	0	30740	0	42370	0
43-3031	AL	36400	0	23170	0	34950	0	53240	0
43-3051	AL	37940	0	23900	0	36810	0	53730	0
43-3061	AL	37560	0	23910	0	38710	0	50230	0
43-3071	AL	26670	0	20390	0	25530	0	36050	0
43-3099	AL	40930	0	24450	0	40150	0	57380	0
43-4011	AL	47150	0	32890	0	45630	0	63590	0
43-4021	AL	31140	0	20760	0	26160	0	48410	0
43-4031	AL	32170	0	22330	0	30340	0	45670	0
43-4041	AL	34140	0	24930	0	33860	0	45280	0
43-4051	AL	31190	0	18760	0	29130	0	47460	0
43-4061	AL	40900	0	31350	0	39530	0	53230	0
43-4071	AL	25330	0	16880	0	24010	0	37080	0
43-4081	AL	19300	0	16160	0	18830	0	24010	0
43-4111	AL	28460	0	19350	0	27080	0	39250	0
43-4121	AL	22300	0	16350	0	19670	0	33670	0
43-4131	AL	32530	0	22200	0	31030	0	46020	0
43-4141	AL	33120	0	25870	0	32590	0	39890	0
43-4151	AL	30200	0	17470	0	28640	0	47030	0
43-4161	AL	35560	0	23930	0	34830	0	48980	0
43-4171	AL	24670	0	17360	0	23730	0	33550	0
43-4181	AL	36070	0	20710	0	31320	0	57670	0
43-4199	AL	41420	0	28540	0	42730	0	53230	0
43-5011	AL	48380	0	28210	0	48060	0	67810	0
43-5021	AL	25370	0	16860	0	23620	0	37670	0
43-5031	AL	32680	0	21110	0	31350	0	47130	0
43-5032	AL	41990	0	21730	0	37800	0	68380	0
43-5041	AL	35030	0	21450	0	33620	0	52620	0
43-5051	AL	47830	0	32510	0	56790	0	59070	0
43-5052	AL	50540	0	34640	0	55200	0	64100	0
43-5053	AL	49440	0	32510	0	55700	0	56800	0
43-5061	AL	47910	0	26880	0	47380	0	70310	0
43-5071	AL	30360	0	18750	0	28500	0	45940	0
43-5081	AL	24130	0	16600	0	21970	0	36120	0
43-5111	AL	28590	0	17230	0	25880	0	45500	0
43-6011	AL	54910	0	37940	0	53040	0	75920	0
43-6012	AL	38500	0	24980	0	35580	0	58160	0
43-6013	AL	31440	0	21420	0	29680	0	45480	0
43-6014	AL	33710	0	22360	0	32270	0	48040	0
43-9011	AL	37600	0	21460	0	35820	0	57990	0
43-9021	AL	27910	0	20230	0	27110	0	37980	0
43-9022	AL	32040	0	20860	0	30060	0	46280	0
43-9031	AL	31560	0	20330	0	29110	0	46940	0
43-9041	AL	33030	0	23090	0	32100	0	45600	0
43-9051	AL	28840	0	18170	0	27570	0	43410	0
43-9061	AL	24190	0	16660	0	22370	0	35780	0
43-9071	AL	25500	0	17060	0	23010	0	38000	0
43-9111	AL	36860	0	20970	0	32480	0	59310	0
43-9199	AL	37910	0	20780	0	34640	0	59720	0
45-1011	AL	48310	0	27100	0	43060	0	80910	0
45-2011	AL	39220	0	21970	0	42220	0	51440	0
45-2041	AL	23110	0	17780	0	22530	0	30060	0
45-2091	AL	26620	0	16430	0	21270	0	56130	0
45-2092	AL	21540	0	16330	0	20660	0	28490	0
45-2093	AL	23330	0	16500	0	21220	0	35110	0
45-2099	AL	24500	0	16130	0	20040	0	40250	0
45-4011	AL	50350	0	18130	0	55480	0	76310	0
45-4021	AL	38110	0	18880	0	33570	0	69610	0
45-4022	AL	33420	0	22010	0	32810	0	46770	0
45-4023	AL	37150	0	25370	0	35470	0	55210	0
45-4029	AL	34830	0	26760	0	34640	0	43540	0
47-1011	AL	57210	0	34340	0	53930	0	84990	0
47-2011	AL	53600	0	37810	0	49810	0	78130	0
47-2021	AL	40000	0	28360	0	37680	0	56900	0
47-2022	AL	31930	0	25090	0	31860	0	39670	0
47-2031	AL	34960	0	21940	0	33970	0	48980	0
47-2041	AL	37470	0	20790	0	35910	0	54090	0
47-2042	AL	29640	0	19810	0	28100	0	40830	0
47-2043	AL	27400	0	20340	0	26480	0	37240	0
47-2044	AL	34450	0	20040	0	34930	0	48140	0
47-2051	AL	35180	0	25650	0	33490	0	49200	0
47-2061	AL	27460	0	18720	0	26580	0	37900	0
47-2071	AL	30140	0	21070	0	29480	0	39530	0
47-2073	AL	37350	0	25500	0	35770	0	52070	0
47-2081	AL	33350	0	19900	0	33640	0	45280	0
