19-3093	Historians	annual	61120	0	27920	0	55800	0	101880	0	master	3.5	3.5	1.7	0.5
19-3094	Political scientists	annual	103210	0	47210	0	99730	0	162500	0	master	6.2	6	-2.3	0.7
19-3099	Social scientists and related workers, all other	annual	80650	0	45390	0	76380	0	118080	0	bachelor	35.6	34.9	-2	4.2
19-4021	Biological technicians	annual	45230	0	26610	0	41650	0	69180	0	bachelor	79.3	83.5	5.2	26.3
19-4061	Social science research assistants	annual	45760	0	20540	0	42480	0	73280	0	bachelor	32	33.8	5.6	15.2
19-4092	Forensic science technicians	annual	60090	0	34000	0	56320	0	94410	0	bachelor	14.4	18.2	26.6	9.9
21-1011	Substance abuse and behavioral disorder counselors	annual	42920	0	25860	0	39980	0	63030	0	bachelor	94.9	116.2	22.3	41.1
21-1012	Educational, guidance, school, and vocational counselors	annual	56490	0	32280	0	53660	0	87640	0	master	273.4	295.9	8.2	79.7
21-1013	Marriage and family therapists	annual	53520	0	30540	0	48600	0	81960	0	master	33.7	38.7	14.8	12.1
21-1014	Mental health counselors	annual	45080	0	26300	0	41880	0	68790	0	master	134.5	160.9	19.6	54.5
21-1015	Rehabilitation counselors	annual	38040	0	20950	0	34390	0	60750	0	master	120.1	130.9	9	36
21-1019	Counselors, all other	annual	47950	0	25480	0	45530	0	74150	0	master	31	34.4	11	9.9
21-1021	Child, family, and school social workers	annual	46610	0	27690	0	42350	0	73400	0	bachelor	305.2	324.2	6.2	92.5
21-1022	Healthcare social workers	annual	54020	0	32190	0	52380	0	77880	0	master	160.1	191	19.3	69.5
21-1023	Mental health and substance abuse social workers	annual	47190	0	26230	0	42170	0	73330	0	bachelor	117.8	140	18.9	50.7
21-1029	Social workers, all other	annual	57970	0	33380	0	58560	0	83400	0	bachelor	66.4	68.9	3.8	18.5
21-1091	Health educators	annual	56690	0	30250	0	51960	0	92950	0	bachelor	61.4	68.9	12.2	19.5
21-1092	Probation officers and correctional treatment specialists	annual	54080	0	32900	0	49360	0	86140	0	bachelor	91.7	95	3.6	21.3
21-1099	Community and social service specialists, all other	annual	44370	0	24370	0	41890	0	69940	0	master	102.7	111.1	8.2	28.6
21-2011	Clergy	annual	48150	0	22380	0	44250	0	77220	0	bachelor	244.2	258	5.6	66.3
21-2021	Directors, religious activities and education	annual	45160	0	19350	0	38780	0	80880	0	bachelor	131.9	137.5	4.3	41.2
21-2099	Religious workers, all other	annual	35160	0	18280	0	28750	0	65150	0	bachelor	55.9	58.5	4.7	12.5
23-1011	Lawyers	annual	136260	0	55870	0	115820	0	187200	1	doctoral or professional	778.7	822.5	5.6	157.7
23-1012	Judicial law clerks	annual	59910	0	31820	0	50740	0	108730	0	doctoral or professional	12.4	11.6	-6.3	2.7
23-1021	Administrative law judges, adjudicators, and hearing officers	annual	93140	0	40270	0	90600	0	158700	0	doctoral or professional	15	14.5	-3.6	2.2
